Id_Cliente,Targa,Nome,Cognome,Age,Marca,NumCilindri,Cv,Prezzo,Data_Immatricolazione,Data_Acquisto,Data_Assicurazione,Codice_Rischio
45,BA734ET,Alicia,Pepe,76,Subaru,four,82,9233,1999/07/08,2012/05/23,2013/04/09,2
46,BD863GV,Calogero,Grimaldi,42,Volvo,four,162,18420,1995/10/22,2007/11/28,2010/10/23,1
47,BD075PI,Olfango,Santini,75,Bmw,four,101,16430,1997/12/28,2000/04/28,2009/03/22,1
48,EH713WN,Efisia,De Simone,75,Alfa-romero,six,154,16500,1991/02/11,2012/09/16,2014/08/27,2
49,DJ548MC,Zeferino,Farina,65,Volvo,four,114,16845,2007/10/06,2011/06/04,2013/07/03,1
50,EM611EP,Moreno,Monaco,69,Subaru,four,73,7053,1993/12/03,2002/09/21,2011/07/12,2
51,AB657XI,Reuccio,De Simone,52,Toyota,four,116,9989,1989/09/01,2002/03/03,2003/05/24,3
52,DQ318VP,Saulle,Marra,33,Volkswagen,four,68,9495,2010/12/08,2015/01/22,2016/04/14,1
53,BT706XX,Berta,Grasso,71,Saab,four,160,18620,2001/06/20,2014/11/15,2015/01/13,2
54,BO506MG,Coltura,Calabrese,50,Toyota,four,92,8948,1989/07/06,2006/09/14,2012/06/27,1
55,BA210PM,Breno,Santini,79,Alfa-romero,four,111,16500,2008/04/14,2009/05/01,2014/01/08,3
56,CO480TB,Piacentina,Lorusso,54,Dodge,four,102,7957,2000/08/23,2004/08/18,2010/10/01,2
57,DO284GC,Spedito,Bellini,61,Bmw,six,182,36880,2003/09/17,2007/09/01,2012/01/28,2
58,EW180IT,Roldo,Moretti,69,Toyota,four,70,7198,1998/09/09,2014/07/27,2015/02/02,3
59,EL073IL,Rambo,Marino,58,Plymouth,four,68,6229,2011/04/23,2015/11/01,2015/12/17,3
60,BW162RN,Vilma,Rinaldi,64,Porsche,six,207,32528,1999/06/18,2002/09/16,2004/10/24,2
61,DE562CI,Fosca,Caruso,20,Renault,four,68,9295,2013/06/16,2013/10/29,2014/11/27,2
62,CU211FA,Otilde,Bruni,38,Mitsubishi,four,116,9279,2001/08/22,2009/10/30,2014/07/18,1
63,DS875CA,Chicco,Fusco,54,Subaru,four,82,9233,2005/07/09,2016/03/26,2016/04/02,2
64,ER432ME,Agatone,Ferrero,62,Toyota,four,70,8238,1996/02/15,2007/11/19,2015/05/07,2
65,DH510GS,Aurora,Longo,43,Volkswagen,four,85,8195,2005/05/26,2014/06/25,2015/05/19,2
66,DS444SF,Ino,Ferrari,22,Nissan,four,69,7349,2006/02/22,2013/07/10,2016/02/28,3
67,DF641UR,Nepomiceno,Ferraro,28,Nissan,four,69,8249,1991/07/14,2005/03/03,2007/04/16,1
68,DE658JO,Carluccia,Fumagalli,47,Mazda,two,135,15645,2002/10/27,2010/05/21,2013/03/20,3
69,EW776QT,Ferriana,Villani,46,Subaru,four,94,9960,2005/05/23,2009/12/13,2015/06/02,3
70,ER770FO,Nazzarena,Giordano,44,Mercedes-benz,eight,184,45400,1995/05/28,2001/12/25,2008/10/08,2
71,BQ738QY,Casimirro,Rizzi,76,Toyota,four,56,7898,1994/09/22,2013/06/27,2015/04/02,3
72,CF262RS,Lancillotto,Villa,75,Toyota,four,116,8449,2002/03/25,2012/05/07,2014/10/20,3
73,CA308MZ,Delmina,Grasso,19,Mercedes-benz,eight,155,35056,2009/12/22,2013/07/17,2013/09/09,3
74,AE464NR,Erinno,Rizzi,27,Subaru,four,82,7775,1997/08/04,2001/06/30,2014/04/12,1
75,AA352MH,Gardenia,Proietti,25,Nissan,four,69,7299,2006/07/05,2013/05/12,2016/03/05,2
76,CU820YH,Andrea,Marchetti,89,Nissan,six,160,17199,1997/03/27,2014/09/07,2014/09/22,3
77,CQ465JO,Pasquita,Pellegrino,21,Mercedes-benz,five,123,28248,2005/02/09,2008/02/07,2011/02/26,3
78,AZ613CN,Ernaldo,Barbieri,21,Honda,four,101,12945,2012/01/20,2013/01/02,2014/10/20,3
79,BP574LE,Finistauro,Sala,82,Toyota,four,62,6488,1992/04/09,2008/05/02,2015/04/29,1
80,CT288SZ,Masiero,Giordano,43,Subaru,four,82,7126,2011/08/20,2013/03/22,2015/05/15,1
81,BD355OT,Odeo,Valente,61,Honda,four,58,6479,1997/11/24,2009/08/16,2010/12/15,3
82,DN828NX,Luisita,Marchetti,64,Mitsubishi,four,145,12629,1990/03/24,2006/08/11,2008/11/28,2
83,DC685US,Silvera,Grassi,67,Chevrolet,three,48,5151,2010/08/02,2011/06/06,2014/02/08,3
84,CF864EQ,Biasio,Pozzi,57,Audi,five,110,17710,2001/01/26,2014/06/20,2015/12/12,3
85,CG263HI,Napolina,Grasso,42,Subaru,four,73,7053,1993/04/26,2014/08/15,2014/09/01,3
86,BA156IW,Montagnina,Marino,39,Dodge,four,68,7609,1991/07/22,1995/05/15,2011/01/25,2
87,DD152WZ,Alcea,Barbieri,59,Renault,four,68,9895,1992/11/05,2003/02/02,2005/05/26,3
88,EQ442NZ,Benilda,Fumagalli,40,Peugot,four,97,16630,1995/07/08,1998/05/30,1998/11/07,1
89,BS663WT,Darina,Fiore,53,Bmw,four,101,16925,1990/04/25,2003/03/05,2003/08/11,2
90,AA244CH,Annagrazia,Longo,38,Toyota,four,70,6938,1999/07/22,2013/01/20,2014/07/06,2
91,BK368PQ,Cassiana,Volpe,39,Toyota,four,62,6338,2000/11/26,2011/04/06,2013/03/20,2
92,EL557EI,Alberigo,Guerra,74,Volvo,four,162,18420,1993/12/22,2000/02/10,2005/03/01,1
93,DH542KQ,Atena,Amato,28,Mazda,four,84,11245,1996/10/31,2015/09/14,2015/09/25,1
94,DL216YP,Patroclo,Pastore,67,Saab,four,110,11850,1991/02/17,2007/09/11,2013/04/05,1
95,CW552KH,Ema,Calabrese,45,Subaru,four,73,7053,2005/01/04,2005/10/04,2007/12/02,3
96,AC874WV,Furia,Parisi,73,Dodge,four,68,5572,2000/07/09,2006/03/29,2015/10/15,1
97,AD284FZ,Solferino,Bianchi,56,Plymouth,four,68,5572,1989/11/08,2007/10/26,2010/10/29,2
98,DN874JS,Conetta,Bruni,51,Honda,four,76,7129,1990/06/24,1994/04/29,2006/01/09,1
99,AH123KD,Fanni,De Rosa,34,Mazda,four,68,7395,1997/02/11,2012/10/07,2015/10/26,2
100,CY126BI,Azelia,Sartori,62,Mazda,four,84,10595,1991/07/20,1998/11/21,2010/11/24,3
101,AD411HR,Anselmo,Martinelli,57,Bmw,six,121,21105,2011/08/04,2014/03/16,2014/10/30,2
102,EC880RD,Giliano,Lorusso,22,Nissan,four,69,7299,2011/05/14,2013/10/15,2014/04/09,3
103,CH446SJ,Pandolfa,Vitale,48,Saab,four,110,11850,2012/10/28,2014/11/21,2015/03/21,1
104,AK560FB,Nuto,Marini,77,Peugot,four,97,12440,2013/07/09,2016/04/02,2016/04/18,3
105,DX534TV,Rosiano,Basile,38,Nissan,six,152,13499,2003/09/11,2013/05/11,2015/09/04,3
106,DY215CG,Facondina,Gentile,45,Honda,four,76,6855,1990/05/28,1998/12/02,2002/08/24,3
107,DY808TR,Comito,Donati,61,Subaru,four,69,5118,1992/09/24,2014/02/19,2014/09/26,3
108,CO324TB,Dorinda,Messina,83,Honda,four,100,10345,2010/09/19,2010/09/19,2013/08/20,2
109,DL853HN,Rinardo,Sartori,47,Mitsubishi,four,68,5389,2011/03/06,2011/04/10,2013/12/12,1
110,CH786DB,Iliade,Moro,36,Subaru,four,73,7603,2005/06/24,2012/03/14,2012/11/19,3
111,AC280AB,Ondino,Albanese,44,Nissan,six,160,17199,2003/06/12,2005/06/21,2013/10/22,3
112,BQ335NU,Assalonne,Bianco,31,Honda,four,76,6855,1996/12/30,2000/09/27,2002/02/22,3
113,CC437AI,Neva,Rossetti,24,Toyota,four,62,8778,2008/01/16,2010/08/28,2011/07/08,2
114,CD508WU,Alghisio,Coppola,81,Toyota,six,161,16558,1992/06/19,2014/01/16,2015/02/12,1
115,AY736CW,Onofrio,Gargiulo,29,Bmw,six,182,41315,1989/11/30,2000/10/25,2004/08/27,3
116,EG016PL,Elzio,Volpe,43,Nissan,six,152,13499,2003/10/31,2006/08/28,2016/01/12,2
117,CV052BS,Adalgiso,Ferrara,37,Mercedes-benz,eight,184,45400,1995/05/20,2009/09/08,2015/08/11,2
118,DW022VZ,Simo,Santini,59,Volvo,four,114,16845,2006/06/01,2012/06/23,2015/12/29,2
119,DM315TQ,Eufrasio,Valente,62,Mercedes-benz,five,123,28248,1998/12/22,2012/12/04,2015/12/15,2
120,DZ486YU,Valentino,Greco,49,Subaru,four,111,11259,2000/02/29,2005/04/21,2010/04/04,2
121,CZ683JU,Lelio,Morelli,73,Chevrolet,three,48,5151,1994/02/14,2008/05/03,2009/03/03,1
122,EA038RB,Malio,Martini,46,Nissan,four,69,6649,2007/03/26,2011/09/05,2013/11/28,1
123,DX153MV,Ginetto,Conti,52,Nissan,four,97,8949,1990/06/05,2012/08/25,2015/03/05,1
124,DF242TJ,Floredano,Palumbo,72,Honda,four,100,10345,1998/06/23,2012/10/18,2014/03/26,3
125,EG164GP,Meliana,Mazza,78,Mercedes-benz,eight,155,34184,2000/08/08,2006/04/10,2010/04/27,2
126,CZ403HQ,Moraldi,Pagano,89,Saab,four,110,11850,2010/03/18,2013/12/21,2015/11/18,1
127,EB241NP,Inerio,Lombardi,47,Subaru,four,73,7603,2010/03/30,2011/05/14,2011/07/18,2
128,CL076CZ,Aurelia,Bruno,77,Toyota,four,56,7788,1995/04/24,2000/03/24,2007/06/22,1
129,ES111KG,Reana,Giuliani,73,Volvo,six,106,22470,1988/12/25,2004/01/09,2012/01/12,1
130,EY871OV,Leoluca,Ferrero,38,Subaru,four,82,9233,2012/02/22,2014/11/08,2015/11/27,3
131,EA382OW,Oviglia,Olivieri,59,Nissan,four,97,9549,2007/06/15,2010/01/04,2011/02/03,1
132,BL273WL,Gioiosa,Napolitano,22,Mercedes-benz,eight,184,45400,1994/07/13,2000/05/08,2004/08/24,2
133,AX151KJ,Odina,Barone,74,Dodge,four,68,5572,1999/08/28,2008/03/25,2013/07/15,3
134,AY606GL,Fioravantina,Santini,46,Honda,four,76,7129,2006/11/08,2010/02/14,2014/10/07,3
135,BA651HW,Angelina,Galli,25,Toyota,four,62,5348,1989/04/04,2004/11/20,2014/10/22,2
136,EC767FF,Aronne,Piazza,45,Plymouth,four,68,6692,1996/09/08,1999/06/09,2014/11/08,2
137,EB817YZ,Osiana,Ferrante,82,Bmw,six,121,20970,2006/03/05,2011/01/24,2013/08/22,2
138,CD543PA,Valfredo,Pinna,22,Audi,five,115,17450,2004/08/08,2008/04/25,2010/03/19,3
139,BU606GR,Emmelina,Ferrari,32,Nissan,six,200,19699,2011/07/30,2013/10/09,2014/10/01,3
140,BO172LI,Gerlando,Grasso,40,Porsche,four,143,22018,1992/09/30,2014/12/14,2016/03/13,3
141,EX532SZ,Elvira,Battaglia,59,Subaru,four,82,7463,1994/08/07,2015/09/06,2015/10/20,1
142,CV236MV,Ionio,Barbieri,35,Toyota,four,92,11248,1999/06/19,2004/02/19,2013/07/14,1
143,DY240OR,Simpliciano,Ceccarelli,88,Toyota,four,112,9298,2011/09/09,2014/08/04,2015/06/14,1
144,AV778MS,Giovannangela,Mele,73,Nissan,six,152,13499,1999/09/18,2011/04/09,2013/03/04,1
145,DZ884LE,Artura,Marchetti,53,Jaguar,twelve,262,36000,1997/05/30,2000/04/06,2004/08/22,3
146,DW227YM,Arletta,Caputo,23,Toyota,four,116,9639,2004/06/05,2004/09/23,2015/05/02,3
147,BY211KQ,Annetta,Conti,60,Toyota,four,70,7738,1995/06/27,2009/09/09,2014/07/07,3
148,AJ034NZ,Ricordino,Ferrero,35,Chevrolet,four,70,6295,1993/03/30,2000/03/27,2015/09/02,3
149,EN083QB,Bigio,Albanese,88,Toyota,four,116,11199,2007/06/14,2012/03/21,2013/01/08,1
150,BJ127IL,Algia,Greco,59,Honda,four,76,7295,1991/04/22,1995/07/29,2009/06/09,1
151,BG873PP,Fulgenzo,Marino,38,Bmw,six,121,21105,1998/05/08,2011/11/25,2015/01/05,2
152,DZ880BN,Floreana,Ceccarelli,33,Mazda,four,72,18344,2001/08/30,2002/12/10,2009/08/06,2
153,EP068KV,Amante,Zanetti,78,Isuzu,four,70,16500,2007/01/15,2008/09/28,2009/05/14,2
154,EM081LB,Santolo,Lombardi,53,Mazda,four,84,11245,1999/09/25,2013/03/12,2013/03/25,1
155,EJ168PJ,Fanni,Antonelli,84,Plymouth,four,68,6229,1995/12/10,1997/08/05,2000/07/04,3
156,DW281HM,Alderigo,Meloni,87,Volkswagen,four,100,9995,2003/12/16,2004/01/10,2004/06/14,3
157,DN368FA,Scolastico,Grassi,35,Mazda,two,101,10945,2011/06/03,2012/11/04,2014/02/04,3
158,DR801PQ,Arsenio,Guidi,64,Toyota,four,92,11248,2001/06/16,2010/09/09,2013/03/30,2
159,BX101IU,Ariello,Mele,52,Porsche,six,207,32528,1995/07/28,2004/12/19,2006/02/14,1
160,DR325HS,Elisea,Esposito,21,Jaguar,twelve,262,36000,1996/06/05,2001/12/15,2005/10/31,2
161,EC342JU,Ermildo,Bernardi,40,Toyota,four,92,8948,2008/09/07,2016/02/14,2016/04/13,2
162,CY773EC,Ostenda,Neri,42,Chevrolet,three,48,5151,2008/01/12,2014/02/03,2016/03/06,2
163,AU516PJ,Goretto,Benedetti,69,Volkswagen,four,85,8195,1992/03/30,2004/11/19,2006/03/28,1
164,DU247UQ,Bassano,Giordano,49,Volvo,six,134,21485,1989/05/08,1990/02/06,1995/02/14,3
165,DF333OB,Gabino,Castelli,72,Plymouth,four,68,6229,1998/04/03,2006/11/17,2012/05/10,2
166,BQ460PO,Bonfilio,Messina,20,Subaru,four,82,7775,1998/08/08,2015/08/27,2016/02/19,3
167,AI177QA,Renaldo,Donati,64,Mitsubishi,four,88,8189,2010/04/18,2010/06/13,2013/09/18,1
168,AH351GB,Edia,Greco,68,Volkswagen,four,100,9995,2008/11/09,2010/02/07,2011/02/12,3
169,DY623SH,Sidoro,Perrone,38,Subaru,four,82,7126,1999/02/23,2010/04/24,2015/05/03,1
170,AI552RT,Spero,Moretti,18,Plymouth,four,88,8921,1994/05/19,1999/06/24,2016/03/02,1
171,BK624DJ,Rosarina,De Simone,82,Subaru,four,82,7463,2012/01/13,2012/01/31,2013/08/08,3
172,ES722MP,Rizzarda,Romano,31,Toyota,six,161,15998,1991/04/09,1999/06/28,2007/10/12,1
173,AT071TP,Manna,Testa,82,Bmw,six,182,30760,1992/08/19,2005/03/04,2006/08/29,1
174,AO646NI,Gioella,Ferraro,74,Subaru,four,82,7463,2003/07/11,2009/01/12,2009/09/17,1
175,AQ652RJ,Venicia,Galli,32,Audi,five,140,23875,1998/06/19,2005/01/03,2011/10/03,3
176,EI072TH,Margarita,Cattaneo,39,Toyota,four,116,9989,2005/02/13,2014/11/15,2015/10/06,2
177,CY525HK,Nestore,Amato,48,Subaru,four,82,7126,2012/05/29,2012/06/05,2013/09/28,2
178,BK041KP,Reulo,Brambilla,26,Subaru,four,94,10198,2006/12/15,2010/08/24,2015/07/16,3
179,EA228LF,Soccorso,Rizzo,28,Saab,four,160,18620,2005/06/17,2016/04/15,2016/04/18,1
180,EN513CS,Alfierina,Farina,40,Toyota,four,70,8238,2002/03/02,2014/11/27,2016/01/26,2
181,DX576IV,Raule,Cirillo,87,Mitsubishi,four,145,12629,1998/04/14,2000/06/22,2014/11/05,1
182,CN665QK,Odolina,Rizzo,27,Volvo,four,162,18950,2004/04/01,2011/12/28,2016/03/11,2
183,DZ177CH,Jacopa,Palmieri,65,Chevrolet,four,70,6575,1989/07/05,1998/05/11,2010/03/29,3
184,CA524EF,Vetulia,Barone,64,Isuzu,four,90,11048,2011/10/06,2014/01/28,2015/10/11,1
185,BK166CI,Amaddio,Costantini,58,Nissan,four,69,7349,1997/01/22,1998/01/06,2009/09/01,1
186,EO814XI,Floriella,Greco,69,Toyota,four,70,7738,1998/07/22,2012/12/26,2013/03/20,2
187,EL574GU,Gualtieri,Longo,30,Volkswagen,four,100,9995,2012/05/29,2012/08/29,2013/04/01,2
188,AK345QG,Emanuela,Villa,50,Volvo,four,162,18420,1989/06/21,1991/09/23,1997/07/27,3
189,BH612IK,Erido,Romeo,55,Toyota,four,112,9298,2003/04/27,2006/08/06,2008/02/20,1
190,DM258OP,Osvilde,Arena,25,Toyota,four,116,8449,1992/12/03,2000/02/28,2011/07/20,2
191,CF216OY,Licinio,Albanese,62,Mazda,four,68,6795,1990/01/12,1990/09/01,2008/04/18,1
192,CW453GI,Genisia,Marino,60,Dodge,four,102,8558,2009/04/28,2012/09/21,2014/12/17,3
193,EL316LR,Andreina,Longo,56,Mitsubishi,four,88,6989,2005/10/10,2013/12/30,2015/11/22,2
194,CO374VQ,Adelelma,Neri,83,Nissan,four,69,6649,1989/01/18,1993/11/09,1994/04/12,1
195,AD730IO,Umbra,Cattaneo,56,Volvo,four,114,15985,1991/06/22,2011/07/14,2013/11/09,2
196,EC522PD,Nazzaro,Testa,29,Toyota,four,62,6918,1996/04/16,1996/10/06,2001/02/27,2
197,EK072DW,Nunzio,Marchi,62,Renault,four,68,9895,1998/01/29,2008/06/02,2016/03/08,1
198,CX876HJ,Nilvio,Guerra,27,Peugot,four,97,12440,1994/10/01,2006/11/16,2012/08/02,2
199,AI117LR,Barbarino,Aiello,56,Plymouth,four,68,7609,1990/03/18,2001/11/12,2008/04/17,3
200,ED302SQ,Giosaffatte,Marini,22,Mazda,four,84,8495,1992/08/17,1994/03/25,1994/05/09,1
201,CJ714FR,Berengaria,Pellegrino,51,Toyota,six,156,15690,1995/05/18,2007/03/09,2008/08/23,1
202,EV846CC,Africana,Longo,59,Audi,five,110,18920,1991/10/07,2014/06/10,2016/03/05,2
203,AI514SP,Ermete,Grimaldi,46,Nissan,six,200,19699,2008/02/08,2009/12/22,2011/09/01,2
204,DT834CK,Verena,Pellegrino,43,Nissan,four,97,8949,2009/03/11,2009/07/22,2011/11/10,2
205,CJ574HS,Olvina,Mancini,78,Toyota,four,116,11199,2012/06/18,2012/07/15,2015/02/03,2
206,AH511IE,Rosvalda,Leone,61,Nissan,four,97,8949,1991/04/02,2003/05/17,2011/10/01,2
207,BC505DI,Rainiero,Pastore,52,Nissan,four,97,8949,1995/12/07,2013/11/26,2015/10/05,1
208,EX175ZT,Martano,Marra,69,Audi,five,115,17450,2007/03/30,2014/09/07,2014/10/01,3
209,EL174UF,Eliodora,Pastore,50,Mercedes-benz,five,123,31600,1993/05/22,2012/02/23,2013/07/25,2
210,BT277CB,Mentina,Baldi,54,Toyota,four,70,7738,2009/12/02,2015/09/13,2016/01/09,2
211,EG623AI,Oliero,Bianco,52,Dodge,four,88,8921,1999/02/03,2003/07/19,2006/08/04,1
212,CN667PR,Gelasia,Franco,67,Mazda,two,101,13645,1997/07/20,2011/07/23,2012/03/31,2
213,CK800KI,Caruso,Coppola,42,Mitsubishi,four,145,12629,1995/03/07,2006/11/16,2009/09/18,1
214,BL753FX,Dello,Benedetti,45,Audi,five,140,23875,1990/10/17,2005/03/15,2015/08/09,1
215,BM873AI,Aldimiro,Meloni,34,Nissan,six,160,18399,1997/06/03,2001/02/15,2011/12/21,2
216,DN028VF,Andretta,Bianchi,77,Mazda,four,84,8845,1999/03/02,2007/06/09,2009/10/09,3
217,EB586GD,Lussorio,Pagano,58,Volvo,four,162,18420,1990/01/12,1993/04/15,1997/08/03,1
218,DW828YS,Adelina,Rizzi,24,Mazda,four,68,6095,2005/10/29,2006/04/17,2011/02/20,3
219,CC488ZG,Orna,Ruggiero,32,Isuzu,four,78,6785,1991/03/09,2003/10/11,2013/10/24,3
220,CA186UJ,Enrico,Costantini,21,Plymouth,four,68,5572,2001/07/06,2001/09/28,2002/12/19,2
221,CM341YF,Mambrina,Ferrero,36,Porsche,six,207,32528,1996/08/16,2016/01/31,2016/04/07,3
222,AL553OP,Ciso,Caputo,34,Plymouth,four,68,5572,2004/06/07,2006/03/01,2013/06/23,3
223,DW178NB,Miro,Grasso,43,Mercedes-benz,five,123,28176,2012/02/16,2012/11/27,2014/09/10,1
224,DS222DI,Pierlorenzo,Fiore,53,Subaru,four,69,5118,1999/06/01,2005/05/06,2014/05/27,1
225,BL601IW,Rosellina,Franco,87,Plymouth,four,68,6229,1997/09/21,2011/04/10,2014/01/27,1
226,BI484SQ,Alberica,Gargiulo,23,Toyota,four,70,7198,2012/01/13,2012/07/20,2014/04/02,1
227,DB347HQ,Cicito,Meloni,63,Porsche,eight,288,16500,2002/08/24,2003/01/23,2007/01/26,2
228,AV032XY,Abbondanza,Rinaldi,42,Toyota,four,92,8948,2004/08/04,2013/04/09,2015/05/24,1
229,BC026BJ,Liuccio,Gallo,71,Honda,four,76,7129,2013/06/06,2015/03/28,2015/11/15,3
230,CO177DY,Fenisio,Ferrari,89,Toyota,four,70,8238,2007/11/14,2015/01/16,2015/09/08,3
231,BZ225YJ,Pasquina,Grassi,20,Toyota,four,62,6338,2010/08/08,2011/12/05,2015/03/23,1
232,AC530OY,Muzio,Conte,80,Volkswagen,four,52,7775,1990/07/05,2002/11/15,2012/11/28,1
233,CD230IP,Zerbina,Montanari,64,Bmw,six,121,21105,2011/05/10,2013/03/31,2013/06/16,2
234,CU452BZ,Romina,Piras,69,Jaguar,twelve,262,36000,2004/04/07,2014/01/30,2016/04/10,2
235,DR623IB,Richelmo,Caputo,32,Toyota,six,161,15998,2010/11/19,2013/06/22,2016/02/16,2
236,DD367WV,Idalmino,Sala,75,Bmw,six,182,36880,2011/11/11,2012/03/03,2015/06/14,1
237,BJ516BM,Ugo,Villa,70,Chevrolet,four,70,6575,2012/08/09,2016/01/21,2016/03/27,2
238,DL284NW,Giombattista,Neri,30,Toyota,six,156,15750,2011/01/03,2012/12/04,2015/02/07,2
239,BQ458JO,Isonzo,Zanetti,39,Mazda,four,84,10245,1995/09/17,1996/01/23,2004/03/31,1
240,EU671VM,Finicola,Martino,76,Jaguar,six,176,35550,2012/09/04,2015/01/08,2016/02/20,3
241,EC737OS,Marinetta,Ferrante,59,Toyota,four,62,5348,1996/08/12,2004/12/17,2006/01/04,3
242,CC106HA,Adelmo,Piras,39,Mitsubishi,four,102,7689,2008/01/08,2010/11/25,2013/01/20,2
243,ED046CU,Delmino,Farina,27,Mitsubishi,four,88,8499,2002/08/17,2008/03/02,2012/03/15,1
244,DO063QW,Nerea,Conte,70,Porsche,six,207,32528,2010/04/14,2012/12/10,2014/09/02,2
245,CQ671KT,Eufrosia,Volpe,89,Porsche,six,207,32528,2005/09/14,2010/01/05,2016/03/01,1
