Targa,Nome,Cognome,Age,Marca,NumCilindri,Cv,Prezzo,Data_Immatricolazione,Data_Acquisto,Data_Assicurazione
EM807VI,"Fulcieri","Giorgi",62,Mazda,four,64,"10795",2007/06/11,2013/11/15,2014/01/30
BA573EE,"Astorino","Testa",55,Mitsubishi,four,116,"9279",2005/09/29,2011/10/06,2011/11/03
AV218ZZ,"Gerbina","De Luca",59,Nissan,four,97,"8949",2000/10/08,2005/10/22,2008/01/12
CP653QU,"Manola","Lombardo",28,Saab,four,110,"11850",2001/08/22,2009/12/02,2011/02/25
DX883XK,"Fenelio","Morelli",56,Porsche,six,207,"37028",2001/05/17,2007/05/02,2011/05/08
CD421MB,"Brunoro","Bruno",58,Peugot,four,95,"13200",2004/05/04,2008/11/17,2012/06/06
AG544GP,"Cartesio","Pozzi",39,Jaguar,six,176,"32250",1999/05/13,2000/02/19,2003/11/25
EV601LT,"Olvino","Di Stefano",89,Subaru,four,82,"7463",1990/11/12,2010/12/30,2011/11/19
DE522QM,"Aleandro","Volpe",23,Jaguar,six,176,"35550",1993/10/17,1999/07/23,2006/04/03
BZ610NM,"Idolo","Giordano",74,Toyota,four,70,"8058",1993/07/14,2013/11/28,2014/09/11
AA625BM,"Terzilla","Morelli",67,Mazda,four,84,"11245",1993/02/07,2015/02/09,2015/12/02
DD022HD,"Marlena","Valente",34,Toyota,four,70,"7198",2005/05/19,2012/03/12,2013/09/19
DI870BH,"Claudiano","Pepe",60,Renault,four,68,"9295",1999/10/01,2004/03/05,2009/09/20
DY178ZQ,"Magdala","Fusco",85,Nissan,four,69,"7999",2005/01/26,2005/11/09,2011/03/11
BI268EV,"Alarico","Lorusso",40,Toyota,four,62,"6918",1998/03/26,2010/03/06,2014/12/04
BY727PW,"Alicia","Proietti",62,Toyota,six,161,"15998",2000/06/22,2011/02/06,2016/01/22
CT148LG,"Brunetta","Neri",62,Plymouth,four,68,"6692",2001/06/29,2010/08/31,2012/04/16
BY414KO,"Mattea","Olivieri",78,Mitsubishi,four,68,"6669",2008/01/31,2013/06/18,2014/06/08
AT038HI,"Guenda","Leone",89,Bmw,six,121,"21105",1996/04/25,2002/10/30,2012/08/25
BA415HS,"Reiner","Ricci",36,Isuzu,four,78,"6785",2009/09/21,2013/04/05,2015/01/06
EO180IP,"Evarista","Fiore",49,Nissan,six,152,"13499",1994/05/30,1995/08/02,2003/08/22
CY001NF,"Iovina","Fabbri",20,Subaru,four,73,"7053",2000/10/23,2008/07/24,2013/08/20
EV437ZL,"Alduino","Fabbri",37,Toyota,four,92,"10898",1991/01/09,1995/04/17,2002/04/20
DC201WE,"Filma","Amato",27,Volkswagen,four,52,"7995",2003/06/07,2005/04/18,2015/04/20
EN165GF,"Elisio","Battaglia",32,Honda,four,60,"5399",1997/10/30,2002/05/16,2012/11/08
CJ601PW,"Rialdo","Villa",58,Mazda,four,64,"10795",1989/03/28,1993/07/09,2013/12/29
CV081CV,"Genzina","Bruni",45,Honda,four,100,"10345",2009/07/08,2015/02/17,2015/12/06
CM038EG,"Massimo","Antonelli",31,Mercedes-benz,five,123,"31600",2011/04/29,2014/04/20,2015/08/04
CT008EI,"Umbrio","Fabbri",84,Audi,five,110,"15250",2004/11/02,2010/10/05,2011/02/19
CL114BD,"Edvige","Coppola",49,Honda,four,58,"6479",2005/02/02,2015/03/14,2015/10/01
AL788HS,"Almiero","Fabbri",46,Volvo,six,134,"21485",2008/01/15,2008/09/19,2014/03/10
CH355FD,"Mafalda","Ricci",54,Subaru,four,82,"7463",2010/12/28,2013/12/20,2015/12/13
AM060DE,"Rotildo","Martino",82,Isuzu,four,90,"11048",2002/04/01,2011/08/31,2013/05/12
BO070OM,"Manina","Rizzo",72,Mitsubishi,four,145,"14489",2010/10/21,2011/03/03,2013/08/14
DV414HY,"Annuccio","Gargiulo",72,Toyota,six,161,"16558",1999/01/19,2004/05/22,2005/09/01
DF646PJ,"Guarniero","Antonelli",61,Mitsubishi,four,145,"12629",2001/12/22,2011/03/17,2013/08/23
AZ040RF,"Ildegardo","Moretti",40,Saab,four,160,"18150",2013/06/18,2016/03/13,2016/04/10
AT358IL,"Odorizio","Giuliani",57,Porsche,eight,288,"16500",2000/08/06,2010/08/05,2012/12/12
DR731RL,"Gerolomina","Pastore",73,Mercedes-benz,five,123,"31600",2000/11/16,2013/06/06,2014/08/02
AQ421OR,"Livano","Caputo",74,Honda,four,86,"7895",2006/12/02,2011/06/29,2014/09/12
BC001BH,"Guerino","Ricciardi",28,Toyota,four,70,"8358",2003/01/26,2012/07/24,2014/07/12
CA020GZ,"Patrizia","Gargiulo",83,Peugot,four,95,"17950",1998/03/14,2011/04/03,2014/12/11
BK301SO,"Floridante","Sala",20,Mitsubishi,four,68,"6669",1993/05/06,1998/02/06,2013/01/25
AU317DH,"Glorio","Ferrara",48,Volvo,four,114,"12940",2006/10/18,2008/05/26,2014/03/31
DK008SO,"Littoriano","De Rosa",22,Nissan,six,152,"13499",2002/05/04,2003/12/26,2015/05/23
AQ417CB,"Margherita","Rizzo",81,Mitsubishi,four,145,"14489",1999/12/13,2006/04/03,2015/09/22
BW558WQ,"Giacomino","Giorgi",60,Honda,four,60,"5399",2006/06/16,2009/04/07,2010/08/02
CX132PH,"Salvuccio","Grasso",89,Audi,five,110,"17710",2001/09/06,2002/07/07,2014/10/13
EI528AW,"Filippino","Sanna",25,Subaru,four,82,"7463",1998/09/23,2011/01/19,2012/03/08
DI406FH,"Geralda","Villani",76,Volvo,four,114,"16845",2012/10/03,2013/11/20,2013/12/17
AN487AG,"Rizzi","Pinna",49,Bmw,six,121,"21105",2003/05/01,2012/07/29,2014/05/08
CG042XT,"Merico","Bernardi",60,Honda,four,76,"7129",2013/07/18,2016/02/20,2016/03/08
DW245YN,"Innocenta","Grasso",62,Volvo,six,134,"21485",1999/10/26,2003/07/27,2009/07/15
EU001GQ,"Felido","Albanese",32,Volvo,six,134,"21485",2011/02/28,2012/07/02,2015/10/06
AZ018DI,"Nandina","Messina",60,Plymouth,four,88,"8921",2012/06/18,2012/07/27,2015/02/09
BD735RW,"Giammauro","Costantini",78,Toyota,four,92,"11248",2010/06/10,2012/07/13,2013/11/18
AH642CT,"Bella","Mancini",72,Honda,four,76,"7295",1997/01/22,2016/03/09,2016/04/08
DS017WX,"Conchita","Proietti",52,Subaru,four,111,"11694",1998/07/18,2008/02/11,2009/12/02
CY586XG,"Dema","Marini",85,Subaru,four,111,"11259",1995/09/01,2004/05/29,2006/05/03
EA053TE,"Celina","Rizzo",69,Mitsubishi,four,88,"6989",2013/06/03,2015/05/27,2015/08/20
CU426XL,"Alferia","Ferrara",57,Mitsubishi,four,116,"9959",1999/12/29,2008/05/17,2015/03/14
AY546QL,"Ema","Giordano",43,Mazda,four,84,"10245",2013/07/20,2015/05/19,2015/08/14
CT423MG,"Michelina","Galli",37,Jaguar,six,176,"32250",1989/12/04,2008/07/12,2009/02/03
AC443IK,"Olves","Esposito",40,Toyota,four,92,"8948",2001/12/16,2009/12/29,2014/01/15
DV740WP,"Raniere","Poli",80,Toyota,six,156,"15750",2006/03/08,2012/11/09,2014/12/16
AF727CO,"Cordelio","Valente",25,Toyota,four,92,"10898",1992/08/17,2008/11/18,2015/03/30
AL841BU,"Agricola","Martini",80,Porsche,eight,288,"16500",1997/10/17,2007/04/11,2007/09/28
AX787MW,"Imola","De Luca",77,Subaru,four,82,"9233",1994/09/20,2012/06/02,2013/02/05
AK813ST,"Fiordalige","Cavallo",81,Toyota,four,92,"10898",1998/07/26,2007/03/19,2014/03/29
AU330VU,"Oder","Parisi",62,Toyota,four,116,"9989",2008/07/27,2011/03/07,2014/04/21
AO667IM,"Adelisia","Ferrara",89,Mitsubishi,four,145,"14869",2004/04/27,2007/07/26,2012/04/23
DN032QA,"Pellico","Meloni",51,Toyota,four,62,"6488",2010/05/23,2011/09/22,2014/01/29
AE602VD,"Silvia","Costantini",25,Volvo,four,114,"15985",1992/01/23,2003/08/12,2007/08/19
AX877AV,"Genuario","Rizzo",20,Toyota,four,70,"8358",2009/02/01,2009/05/18,2009/10/01
CD002IZ,"Rocca","Brambilla",87,Bmw,four,101,"16925",2000/02/27,2006/03/01,2014/02/11
CI575GW,"Marciliano","Russo",31,Mitsubishi,four,68,"6189",1988/12/30,2014/06/04,2016/01/18
DY315YA,"Fallerio","Greco",65,Volvo,six,106,"22470",2009/10/07,2014/04/16,2014/04/19
AI745RR,"Simonetta","Pinna",51,Honda,four,76,"6529",1994/07/19,2006/04/11,2011/05/05
CK663NO,"Germanio","Sanna",28,Subaru,four,73,"7603",1997/04/02,1999/07/28,2006/11/18
ER308AL,"Moreno","Pellegrino",19,Bmw,six,182,"36880",2006/07/25,2008/02/23,2011/05/21
CT527ZX,"Stelvia","Mele",39,Toyota,four,112,"9298",2008/12/29,2015/01/24,2015/05/26
CQ822ZY,"Rosello","Rizzi",29,Toyota,four,116,"11549",2004/09/26,2007/09/04,2013/05/20
EN058WL,"Ippazio","Ricciardi",58,Bmw,four,101,"16925",1995/08/31,2006/09/16,2016/04/09
BF068FE,"Vassero","Monti",69,Peugot,four,95,"17075",2008/02/13,2012/02/22,2014/03/14
AB514KJ,"Olda","Martini",89,Toyota,four,70,"9258",1999/12/10,2006/03/18,2010/06/20
BD077YR,"Agrippina","Albanese",27,Dodge,four,88,"8921",1990/03/27,1995/03/01,2007/02/05
DB501DB,"Galgano","De Santis",41,Mitsubishi,four,88,"6989",2001/05/15,2008/06/09,2015/06/28
BI737AZ,"Augusto","Bianchi",83,Nissan,four,69,"7299",1995/03/11,2007/09/25,2011/03/24
BO801FU,"Efisino","Proietti",57,Saab,four,110,"15510",1998/01/29,2012/10/01,2015/10/22
AH138KO,"Benedino","Sanna",22,Nissan,four,69,"7499",1999/06/13,2005/04/04,2013/09/02
BC015GU,"Morando","De Angelis",83,Porsche,six,207,"34028",2006/11/22,2015/01/19,2015/02/23
DO111DB,"Protasio","Fontana",58,Toyota,four,92,"9988",1999/04/07,2002/02/19,2015/10/25
AF221TY,"Averardo","Grasso",75,Volkswagen,four,52,"7995",1990/10/01,2004/02/28,2006/07/24
DI572KM,"Nita","Pellegrini",30,Mazda,four,64,"10795",2003/12/14,2012/10/27,2015/01/18
AG473XR,"Dilla","Bruni",70,Mercedes-benz,eight,155,"35056",2000/11/17,2005/06/22,2010/02/04
AF524ZL,"Romano","Parisi",44,Porsche,six,207,"37028",2004/06/09,2015/01/12,2015/04/29
CF883SE,"Gianmatteo","Villa",59,Nissan,four,69,"7999",1996/02/15,2007/06/11,2010/02/08
EE487LJ,"Florinda","Donati",64,Saab,four,110,"15040",2002/01/14,2003/02/06,2006/09/29
CT803AH,"Fidenzia","Gallo",53,Nissan,four,69,"8249",2012/10/22,2015/12/21,2016/03/15
CV665BC,"Levina","Guerra",60,Nissan,four,69,"5499",2011/02/25,2012/09/17,2014/10/04
AF786RR,"Meo","Bianchi",24,Mazda,four,68,"6095",2010/07/02,2014/12/18,2015/09/28
BI700QG,"Bibbiano","Proietti",76,Mazda,four,68,"6795",1991/03/25,2006/06/25,2011/01/10
BF458SG,"Gelfrido","Giordano",25,Subaru,four,73,"7603",1999/01/16,2001/10/03,2013/11/14
AL646WT,"Varia","De Luca",70,Saab,four,160,"18620",2005/01/29,2005/08/08,2011/08/15
AT750MB,"Raineri","Cattaneo",77,Subaru,four,94,"10198",1997/04/14,2002/04/29,2009/07/24
EJ785XJ,"Gelsina","Poli",52,Mercedes-benz,eight,155,"35056",1996/06/06,1998/05/31,2014/03/16
EK287UC,"Getulio","Volpe",32,Mazda,four,84,"8495",1996/08/11,2010/01/15,2012/03/23
EE635SD,"Paoletta","Carbone",63,Subaru,four,82,"9233",2011/09/10,2013/09/16,2015/10/17
BJ536KE,"Arialdo","Pagano",42,Mitsubishi,four,68,"6669",2007/10/20,2015/04/25,2016/04/07
BK237LN,"Bartolino","Grimaldi",54,Chevrolet,four,70,"6575",2005/12/03,2015/04/07,2016/04/05
DV083CF,"Azzolino","Rizzi",86,Toyota,four,116,"9989",2000/05/16,2008/11/19,2014/06/25
DO354ND,"Oprandina","Albanese",45,Saab,four,160,"18150",1999/11/30,2012/06/06,2015/08/14
EA110ND,"Elvia","Marchi",84,Honda,four,76,"7295",1994/07/14,1996/07/26,2006/10/15
CD288NN,"Minervina","De Angelis",25,Peugot,four,97,"16630",2006/09/11,2011/05/25,2016/02/29
EA544RE,"Ulderiga","Milani",88,Bmw,four,101,"16430",1998/02/17,2006/04/06,2010/07/03
DT562MR,"Ambrosia","De Simone",20,Saab,four,110,"11850",1990/10/10,2007/07/15,2007/08/01
EX345TH,"Genio","Moretti",20,Honda,four,58,"6479",1999/05/27,2008/06/19,2012/06/11
BV316NE,"Basilla","Piccolo",72,Toyota,four,62,"7898",1990/01/15,1991/11/02,1993/12/30
AO531XK,"Pinetto","Grassi",73,Bmw,four,101,"16925",1999/11/07,2005/03/25,2012/07/15
DC083JH,"Innocente","Parisi",49,Isuzu,four,90,"11048",2000/02/09,2004/01/22,2016/03/13
EF121ER,"Innocenta","Lorusso",51,Honda,four,76,"6855",1989/02/15,2016/03/23,2016/04/12
DL466RO,"Termino","Cirillo",45,Nissan,four,97,"8949",1995/01/18,1995/08/06,1996/01/09
DT705PP,"Odigitria","Battaglia",89,Toyota,four,70,"8058",2011/09/30,2012/05/04,2014/11/08
AF216ML,"Vilma","Piras",76,Toyota,six,156,"15690",1995/09/27,2004/06/02,2013/10/12
CS380UR,"Filadora","Fumagalli",50,Peugot,four,95,"13860",2000/01/16,2011/06/18,2015/12/22
BW758DU,"Leonorio","Pastore",53,Volkswagen,four,88,"12290",1991/12/17,2008/05/20,2015/12/03
EK485VC,"Tilia","Romano",22,Nissan,four,97,"8949",1998/01/15,2009/04/20,2010/07/08
DN822HA,"Saviano","Aiello",74,Bmw,six,121,"24565",2008/11/21,2010/09/05,2013/03/20
ER876YW,"Celestina","Monaco",70,Mazda,four,72,"18344",1991/08/06,1999/09/05,2012/11/04
EA313OX,"Filino","Meloni",65,Mercedes-benz,five,123,"28176",2003/11/11,2012/02/01,2012/02/04
DX472CK,"Amanzio","Ricciardi",78,Toyota,four,70,"7738",1991/02/15,2009/12/12,2015/05/12
BW137WC,"Delio","Riva",56,Volvo,four,114,"22625",2000/08/02,2005/05/30,2014/05/18
AO672GW,"Olvea","Pellegrini",59,Nissan,four,69,"7299",2011/07/15,2015/12/14,2015/12/17
CO348VC,"Iliade","Fabbri",47,Renault,four,68,"9895",1990/12/13,2012/08/18,2015/11/16
CM578WE,"Argante","Valente",62,Subaru,four,73,"7603",2003/04/19,2011/08/20,2015/12/31
DH373LH,"Torello","Ferrari",38,Mazda,four,84,"8845",1993/10/10,2000/11/04,2008/02/01
EN572CD,"Antuono","De Simone",68,Plymouth,four,68,"5572",1991/06/26,1999/08/25,2005/02/27
BA477BQ,"Giamaria","Costa",67,Mercedes-benz,eight,155,"35056",2002/11/22,2015/02/01,2015/12/11
AE857VN,"Maggino","Longo",19,Dodge,four,68,"6377",2003/09/22,2010/11/28,2015/08/29
CI843NP,"Mattio","Bruni",49,Isuzu,four,70,"16500",2007/04/11,2013/01/21,2015/03/26
DS147XO,"Nascimbene","Sorrentino",53,Dodge,four,68,"6377",2010/02/03,2011/05/05,2013/09/08
DB785AF,"Quintilina","Costa",48,Alfa-romero,six,154,"16500",2013/07/22,2014/05/10,2014/07/21
DI454UN,"Wilfrida","Mancini",40,Toyota,four,70,"6938",2011/09/20,2012/09/09,2013/12/27
BW150HX,"Freido","Colombo",45,Dodge,four,102,"7957",1997/12/24,2007/12/31,2012/02/05
BF738PV,"Lidano","Gentile",77,Porsche,six,207,"34028",2007/10/16,2013/02/01,2014/04/11
DI633MS,"Carmela","Poli",20,Subaru,four,94,"10198",1997/05/12,2000/05/04,2012/10/02
AK018SX,"Ilaria","Meloni",21,Subaru,four,82,"8013",1995/01/31,1996/03/05,2002/02/23
DU063HP,"Genoveffo","Gallo",23,Renault,four,68,"9895",1997/06/05,2008/04/17,2012/05/15
EO572SI,"Cristofolo","Rossetti",73,Mazda,four,68,"6795",1999/02/12,1999/11/14,2002/07/29
EE386LW,"Ficenza","Ferraro",49,Mazda,two,135,"15645",1995/05/10,2011/11/13,2015/11/20
DW775CO,"Arriguccio","Martini",73,Porsche,six,207,"32528",2000/05/06,2002/08/05,2009/03/05
EU842NW,"Rodiano","Piazza",31,Mitsubishi,four,116,"9279",1990/02/10,2006/03/07,2007/04/21
CY081DB,"Eglantina","De Santis",64,Volvo,four,162,"18950",2002/07/17,2007/11/04,2012/02/01
AT114PY,"Annaflavia","Greco",26,Mercedes-benz,five,123,"28248",1990/07/23,2006/10/19,2010/05/02
DD288QS,"Paladino","Pozzi",32,Bmw,four,101,"16430",2000/02/06,2001/09/10,2009/05/13
EK577BP,"Ramberto","Ferro",50,Toyota,six,161,"15998",2008/11/18,2014/09/04,2015/12/01
BA377FA,"Geronzio","Longo",28,Plymouth,four,68,"5572",1993/02/20,2010/01/07,2011/04/23
CQ668UL,"Omerio","Testa",66,Peugot,four,95,"13200",2005/02/15,2006/02/20,2011/01/10
CN682WA,"Guidone","Lorusso",29,Mazda,four,84,"8845",1993/08/02,1998/06/11,2003/06/20
EY608WY,"Pasino","Gentile",73,Subaru,four,82,"9233",1995/12/28,2002/12/02,2014/09/25
DS801VO,"Raoul","Barone",42,Bmw,six,121,"21105",2011/11/07,2014/09/02,2014/12/17
EP683FY,"Solferino","Giordano",49,Plymouth,four,68,"5572",1993/02/12,2005/12/20,2016/03/08
AF701HC,"Learda","Morelli",27,Volvo,four,114,"13415",2002/09/09,2015/01/01,2015/01/19
DA655CO,"Armando","Vitali",63,Peugot,four,95,"15580",1994/10/01,1995/05/06,1998/08/19
AH658WZ,"Armildo","Sala",38,Honda,four,58,"6479",2009/03/08,2010/05/03,2016/01/12
BA268ZH,"Gesuella","Rizzi",68,Volkswagen,four,52,"7995",1992/06/09,1995/11/26,1997/08/29
DV702QR,"Adelisia","Serra",54,Mercedes-benz,five,123,"31600",2012/07/04,2013/03/15,2013/04/15
BI600QD,"Epimaco","Palumbo",75,Toyota,four,92,"11248",2009/03/25,2011/08/22,2015/02/18
BG665RW,"Lello","Riva",36,Dodge,four,68,"6692",1999/03/06,2006/12/20,2009/09/03
DD508WB,"Lorisa","Lombardo",49,Dodge,four,68,"6377",2000/11/02,2004/05/06,2011/10/30
AQ623EI,"Filomarino","Villani",63,Mitsubishi,four,116,"9959",2010/08/10,2010/09/20,2015/04/13
CA532JS,"Renner","Giordano",85,Toyota,six,161,"16558",1990/12/15,2013/09/03,2015/11/30
BN268YM,"Angiolina","Russo",76,Jaguar,six,176,"35550",2002/12/18,2009/05/17,2010/06/27
AV657HO,"Melchisedeo","Monti",80,Nissan,six,160,"18399",1994/06/27,2007/03/19,2015/08/10
BZ606CO,"Forese","Bernardi",31,Mitsubishi,four,88,"6989",1991/09/07,1993/10/15,2008/08/04
BX235GO,"Lario","Ferro",25,Alfa-romero,six,154,"16500",1991/08/09,1995/02/01,2005/07/07
BA657FL,"Primizia","Valentini",88,Mitsubishi,four,88,"6989",1991/03/07,2008/07/25,2009/02/18
BW465GW,"Olmedo","Amato",66,Nissan,four,97,"9549",1993/02/24,2015/06/15,2015/12/19
CD616IC,"Assunto","Fontana",70,Nissan,six,152,"13499",2010/07/08,2014/10/10,2015/06/02
CS517NC,"Querina","Grasso",88,Toyota,four,116,"8449",2007/09/22,2010/03/20,2010/10/05
ED265HS,"Osirio","Costa",77,Mercedes-benz,five,123,"28248",1994/12/07,2010/02/22,2016/04/15
CZ283DQ,"Eliseo","Sala",86,Toyota,four,62,"6918",2001/05/02,2008/12/10,2010/10/12
AB140AP,"Quintilla","Costa",60,Volkswagen,four,85,"7975",2000/07/03,2016/02/03,2016/04/13
BM213WT,"Leonaldo","Mazza",86,Porsche,eight,288,"16500",1993/06/14,1995/08/31,2003/12/08
DZ057SC,"Oceano","De Luca",34,Subaru,four,82,"7463",2013/04/08,2016/02/27,2016/04/08
CU427US,"Gisulfo","Piras",83,Nissan,six,200,"19699",1989/04/02,2013/04/20,2015/01/08
AG221CA,"Jacopo","Pagano",43,Volvo,six,106,"22470",1993/06/22,1996/03/21,2016/01/17
EA238AY,"Iago","Ricci",30,Mitsubishi,four,116,"9279",1989/06/30,2013/04/22,2013/11/14
DU432CJ,"Bachisia","Ferri",87,Dodge,four,68,"6692",2001/12/22,2013/01/14,2014/03/26
BT832NI,"Itria","Piras",77,Mitsubishi,four,116,"9279",1989/05/19,1994/12/12,2012/02/13
EK814KS,"Aralda","Antonelli",82,Dodge,four,88,"8921",2000/12/29,2001/01/10,2008/11/09
CW055NA,"Guidobaldo","Parisi",48,Subaru,four,94,"10198",2011/08/12,2014/07/06,2014/08/01
ET242ZG,"Olisia","Monti",42,Isuzu,four,70,"16500",1995/02/19,1996/03/11,2010/06/01
CZ320EX,"Finimonda","Santoro",88,Subaru,four,82,"9233",1991/01/12,2008/11/15,2010/03/05
CI020JY,"Fedelino","De Santis",51,Nissan,four,69,"7349",2004/05/28,2011/10/03,2012/10/22
AA046WR,"Valerina","Martinelli",58,Volkswagen,four,52,"7775",2012/12/02,2014/09/10,2016/02/21
EE373JX,"Grisante","Marchetti",60,Peugot,four,95,"16900",2002/06/22,2005/06/16,2008/09/29
AN682XI,"Evendra","Vitali",23,Volvo,four,114,"16515",1989/09/13,2007/03/19,2012/08/08
CP506XQ,"Sterpeta","Antonelli",68,Audi,five,110,"17710",2005/06/29,2008/06/01,2012/11/28
AB578HE,"Eugenia","Cavallo",31,Mazda,four,64,"10795",2013/02/23,2015/08/27,2015/12/25
CM886PX,"Oprando","Pinna",83,Saab,four,110,"11850",1990/03/22,2007/10/27,2012/03/30
